date,temperature_2m
2026-07-31 23:00:00+07:00,26.7
2026-08-01 00:00:00+07:00,26.75
2026-08-01 01:00:00+07:00,26.7
2026-08-01 02:00:00+07:00,26.5
2026-08-01 03:00:00+07:00,26.25
2026-08-01 04:00:00+07:00,26.05
2026-08-01 05:00:00+07:00,25.95
2026-08-01 06:00:00+07:00,26.0
2026-08-01 07:00:00+07:00,26.25
2026-08-01 08:00:00+07:00,26.95
2026-08-01 09:00:00+07:00,27.95
2026-08-01 10:00:00+07:00,28.7
2026-08-01 11:00:00+07:00,29.1
2026-08-01 12:00:00+07:00,29.3
2026-08-01 13:00:00+07:00,29.35
2026-08-01 14:00:00+07:00,29.25
2026-08-01 15:00:00+07:00,29.05
2026-08-01 16:00:00+07:00,28.65
2026-08-01 17:00:00+07:00,27.95
2026-08-01 18:00:00+07:00,27.05
2026-08-01 19:00:00+07:00,26.4
2026-08-01 20:00:00+07:00,26.3
2026-08-01 21:00:00+07:00,26.45
2026-08-01 22:00:00+07:00,26.55
2026-08-01 23:00:00+07:00,26.4
2026-08-02 00:00:00+07:00,26.2
2026-08-02 01:00:00+07:00,26.05
2026-08-02 02:00:00+07:00,25.95
2026-08-02 03:00:00+07:00,25.85
2026-08-02 04:00:00+07:00,25.9
2026-08-02 05:00:00+07:00,26.05
2026-08-02 06:00:00+07:00,26.3
2026-08-02 07:00:00+07:00,26.6
2026-08-02 08:00:00+07:00,27.0
2026-08-02 09:00:00+07:00,27.5
2026-08-02 10:00:00+07:00,28.0
2026-08-02 11:00:00+07:00,28.5
2026-08-02 12:00:00+07:00,28.95
2026-08-02 13:00:00+07:00,29.2
2026-08-02 14:00:00+07:00,29.25
2026-08-02 15:00:00+07:00,29.1
2026-08-02 16:00:00+07:00,28.75
2026-08-02 17:00:00+07:00,27.95
2026-08-02 18:00:00+07:00,26.9
2026-08-02 19:00:00+07:00,26.2
2026-08-02 20:00:00+07:00,26.1
2026-08-02 21:00:00+07:00,26.3
2026-08-02 22:00:00+07:00,26.5
2026-08-02 23:00:00+07:00,26.6
2026-08-03 00:00:00+07:00,26.7
2026-08-03 01:00:00+07:00,26.75
2026-08-03 02:00:00+07:00,26.45
2026-08-03 03:00:00+07:00,26.15
2026-08-03 04:00:00+07:00,25.85
2026-08-03 05:00:00+07:00,25.6
2026-08-03 06:00:00+07:00,25.55
2026-08-03 07:00:00+07:00,25.65
2026-08-03 08:00:00+07:00,26.1
2026-08-03 09:00:00+07:00,26.85
2026-08-03 10:00:00+07:00,27.75
2026-08-03 11:00:00+07:00,28.6
2026-08-03 12:00:00+07:00,29.3
2026-08-03 13:00:00+07:00,29.7
2026-08-03 14:00:00+07:00,29.75
2026-08-03 15:00:00+07:00,29.55
2026-08-03 16:00:00+07:00,29.15
2026-08-03 17:00:00+07:00,28.75
2026-08-03 18:00:00+07:00,28.3
2026-08-03 19:00:00+07:00,27.95
2026-08-03 20:00:00+07:00,27.65
2026-08-03 21:00:00+07:00,27.35
2026-08-03 22:00:00+07:00,27.1
2026-08-03 23:00:00+07:00,26.85
